wavelength,Back_EunCamf,Belly_EunCamf,Breast_EunCamf,Crissum_EunCamf,Crown_EunCamf,DorTail_EunCamf,Rump_EunCamf,Throat_EunCamf,WingTip_EunCamf
217.08,-238.5964,-67.0174666667,-136.8422,-206.6666,-171.929733333,-260.701933333,-154.035066667,-209.649066666,-257.543933333
217.46,-1828.88886667,-602.222199999,-991.111066665,-1395.55566667,-1215.5556,-1804.4444,-1246.6666,-1405.55566667,-1755.55546667
217.83,-3.20710882555e+15,-9.7663287374e+14,-1.7826748525e+15,-2.39253730204e+15,-1.91914756848e+15,-3.06210656482e+15,-2.23900549656e+15,-2.35628673686e+15,-3.15166678468e+15
218.21,800.0,163.333266667,388.888866666,523.333399999,396.666666667,719.999999999,502.222333334,517.777766667,701.111266667
218.59,288.772,63.8595999999,117.544,168.070133333,134.035133333,221.403466667,160.000133333,150.175366667,219.999866667
218.97,282.666666667,67.3333333334,113.333333333,169.333333333,136.666666667,210.666666667,153.666666667,145.0,229.0
219.34,444.8486,95.1516,128.484933333,216.9696,194.545466667,310.909,239.393933333,235.757533333,395.1516
219.72,291.851933333,85.1851333335,95.1853333333,144.4444,127.407266667,209.629666667,173.703733333,175.740766667,259.629733333
220.10,324.7058,89.8038666668,127.843133333,159.2156,127.058866667,239.607866667,220.7844,185.098,299.999933333
220.47,309.803933333,85.4903333333,117.255,162.745066667,106.666533333,219.2156,210.980466667,143.1373,298.823466667
220.85,237.460333333,61.2698666665,79.3651333334,122.857266667,66.0317333334,158.412733333,147.936533333,90.7935666667,218.412733333
221.23,145.5814,48.6822000001,61.8606666667,80.7751333333,45.7364,100.7752,93.6434,65.3489,133.7984
221.61,157.166666667,53.6666666667,67.1666666667,93.3333333334,57.1666666667,112.833333333,106.166666667,74.8333333334,149.666666667
221.98,209.047666667,61.6665999999,65.7144000001,114.999933333,79.0475999999,152.381,143.571533333,92.2618666667,207.143
222.36,547.878866667,174.545466667,177.575733333,274.545466667,227.878933333,388.4848,368.485,247.575833333,555.151333333
222.74,430.833333333,187.5,219.583333333,288.333333334,238.333333333,353.333333333,335.416666667,250.208333333,488.75
223.11,730.666666667,345.333333333,382.0,502.666666667,444.0,625.333333333,600.0,464.0,844.0
223.49,-730.666666666,-308.000000001,-369.333333333,-546.000000001,-449.333333333,-633.333333333,-581.333333333,-444.0,-795.333333334
223.87,-235.9524,-81.4286000001,-89.5238,-149.999933333,-132.618933333,-176.666533333,-175.238133333,-118.333233333,-255.476266667
224.24,-262.142733333,-109.5238,-112.857133333,-172.8572,-164.047533333,-202.619,-206.9048,-148.9285,-274.523866667
224.62,-341.449333334,-165.217533333,-155.0724,-225.7972,-218.260866667,-265.507266667,-276.231866667,-210.579733333,-334.492666667
225.00,-349.394,-169.393933333,-158.181866667,-211.212266667,-216.9696,-255.757666667,-280.606066667,-209.090933333,-341.8182
225.38,-185.945866667,-99.8197999999,-87.3874,-111.531533333,-108.828933333,-138.738733333,-153.3334,-112.973,-183.063133333
225.75,-134.637666667,-78.4059333333,-56.232,-75.3621999999,-66.3767333334,-99.9999999999,-106.376733333,-81.6666333333,-130.0
226.13,-84.1791333334,-50.7462666666,-32.7362,-40.0995333332,-33.7314,-60.9950666667,-62.1890666667,-53.0348333333,-78.408
226.51,-86.0418,-50.0001333332,-32.9168666667,-44.4794,-37.5000666667,-61.7710666667,-66.5628000001,-56.8230666667,-80.5211333333
226.88,-64.1228,-37.1052666667,-14.4737333333,-20.5264,-23.5965333333,-39.4738,-47.193,-37.9825,-53.5085999999
227.26,-24.4662,-6.86086666667,10.1618666667,8.22006666666,6.01933333331,-2.58893333332,-14.0452666667,-0.42063333334,-14.822
227.64,-38.8532,-18.6380666667,-1.64866666666,1.7204,-4.80293333332,-11.0394,-25.3046666667,-11.1112,-24.0144
228.01,-30.8804,-13.3332666667,-1.69806666668,2.95586666668,-2.26426666667,-12.1384,-21.4465333333,-10.0000333333,-17.9244
228.39,-22.1666666667,-7.05559999999,3.55553333332,6.88880000001,0.166666666666,-6.66660000001,-10.6667333333,-2.99990000001,-9.55566666666
228.76,-16.5450666667,-2.57919999999,7.00726666668,9.14853333335,-0.632600000006,-4.62280000001,-6.0342,0.8272,-6.91006666665
229.14,-21.1347333333,-10.5437333333,-0.4728,0.6146,-8.98333333333,-11.3474,-12.5768,-7.82516666665,-13.5226
229.52,-15.4564666667,-5.09560000001,3.73673333334,3.82166666667,-7.9406,-7.51600000001,-9.38420000001,-1.9107,-8.11046666667
229.89,-12.0987333333,-0.5762,7.77793333334,7.86013333331,-6.5844,-4.52673333333,-5.88473333333,3.93006666667,-2.83959999999
230.27,-7.4666,4.2222,14.0444666667,11.6444,-1.28886666668,2.9334,-0.710999999992,12.3555333333,2.84439999999
230.65,-5.19426666667,5.97146666666,17.3415333333,12.2288666667,4.58079999999,4.78526666666,3.39473333334,14.8671333333,4.7442
231.02,-0.714200000002,9.40466666668,21.7857333333,15.2778666667,9.44453333333,8.01593333334,9.04766666667,18.4524,8.76979999999
231.40,-5.81086666667,6.93699999999,21.3514,12.6576,5.81093333333,3.46846666667,7.88286666667,14.9773666667,6.39640000001
231.78,6.18733333333,14.5971333333,30.1525333333,21.9171333333,15.5991333333,10.3704,14.597,25.8388,11.8518666667
232.15,3.88886666668,12.6768,30.6565333333,22.2728,15.8586,9.79793333333,14.8486,28.9142,12.9798666667
232.53,4.2818,13.5501333333,34.3631333333,25.1488,15.7723333333,11.9241333333,15.6097333333,31.3278333333,14.8509333333
232.90,11.7026666667,19.6642,38.5130666667,30.0718666667,23.1176,20.8154,22.4940666667,34.3644333333,21.7266666667
233.28,9.15499999999,19.6245333333,37.6056666667,27.7464,23.0986666666,20.5634,22.5822,33.0750333333,20.7040666667
233.66,6.82066666668,13.1795333333,34.564,21.9488666667,20.5128,16.6667333333,20.3076666667,27.0255,15.6923333333
234.03,12.2066666667,18.3568,35.2582,22.7699333333,24.2722666667,22.8168666667,23.3802666667,28.1454333333,18.7324
234.41,12.9333333333,17.9554666667,33.5111333333,23.689,24.4,21.8665333333,22.8,27.8667333333,18.5334666667
